instruction,response
What are the different departments in CCET?,"CCET has various academic departments such as Computer Science Engineering, Mechanical Engineering, Electronics and Communication Engineering, Civil Engineering, and Applied Science. For more information, visit [http://ccet.ac.in/deanStudentWelfare.php#](http://ccet.ac.in/deanStudentWelfare.php#)."
What are the programmes offered by CCET?,"CCET offers various programmes like Degree Course, Degree Course (PU-LEET), and Doctorate (Phd). For more information, visit [http://ccet.ac.in/deanStudentWelfare.php#](http://ccet.ac.in/deanStudentWelfare.php#)."
What is the student welfare system in CCET?,"CCET has a student welfare system that includes officials at student welfare, student council, anti-ragging committee, and student grievances redressal system. For more information, visit [http://ccet.ac.in/deanStudentWelfare.php#](http://ccet.ac.in/deanStudentWelfare.php#)."
What are the hostel facilities available in CCET?,"CCET has hostel facilities for boys and girls. For more information, visit [http://ccet.ac.in/hostel.php](http://ccet.ac.in/hostel.php)."
What are the sports facilities available in CCET?,"CCET has various sports facilities, including a sports facility and a fitness initiative. For more information, visit [http://ccet.ac.in/sportsFacility.php](http://ccet.ac.in/sportsFacility.php)."
How can I apply for admissions in CCET?,"You can find admission notices, help desk, and programme specifics at [http://ccet.ac.in/deanStudentWelfare.php#](http://ccet.ac.in/deanStudentWelfare.php#)."
What are the placement opportunities available in CCET?,"CCET has a dedicated placement cell. For more information, visit [http://ccet.ac.in/tnp/index.html](http://ccet.ac.in/tnp/index.html)."
How can I access the NIRF reports of CCET?,CCET's NIRF reports can be found at [http://ccet.ac.in/pdf/NIRFReport2023.pdf](http://ccet.ac.in/pdf/NIRFReport2023.pdf) and other previous years' reports are also available.
What are the notices and circulars available in CCET?,"You can find various notices, circulars, and forms at [http://ccet.ac.in/notices.php](http://ccet.ac.in/notices.php) and [http://ccet.ac.in/forms.php](http://ccet.ac.in/forms.php)."
How can I access the E-newsletter of CCET?,CCET's E-newsletter can be found at [http://ccet.ac.in/deanStudentWelfare.php#](http://ccet.ac.in/deanStudentWelfare.php#) and all previous issues are also available.
What is the name of the college featured on this website?,The name of the college is Chandigarh College of Engineering and Technology.
"What is the purpose of Achintyam, the Photography Club?",Achintyam is a group of photography enthusiasts who express emotions through the camera. They are known for their creativity and love for the art of photography.
What is the motto of Apostle of Speech?,"The motto of Apostle of Speech is 'silence unjustified', which means that they believe in speaking up and making oneself heard."
"What is the theme of Symphony, the Fashion Club?","The theme of Symphony is 'PASSION FOR FASHION', and they aim to bring out a message through every show they put up, whether it's about human nature, cultural diversity, or evolution of Bollywood."
"What does RobokNox, the technical club, aim to achieve?","RobokNox aims to achieve innovative solutions to everyday problems through innovation and robotics, following their motto 'Create, Innovate, Automate'."
"What is Punjabi By Nature, the Bhangra Club, all about?","Punjabi By Nature represents the culture and history of Punjab and provides an environment for self-expression, growth, and success through dance, following the core values of unity, love, and family."
"When was BEATLES, the Western Dance group, formed?",BEATLES was formed on 17th February 2008 with the aim of representing the college in intercollege and youth fests.
"What is the purpose of Dramebaaz, the theatre club?","Dramebaaz aims to educate the society through their performances, which include street plays and flash mobs."
"What is the focus of 7 Notes, the Music Club?","7 Notes believes that music is everywhere, and it's just how you comprehend it."
"What is the vision of ARTSTRONG, the artistic club?","ARTSTRONG believes that through the medium of paint and graphite, one can give voice to their innermost emotions and thoughts, unleashing a vibrant spectrum of colors and shades."
What is the URL of the college website?,"The URL of the college website is https://www.ccet.ac.in/. For more information, visit the website."
How can I contact the college administration?,"You can contact the college administration through the 'Contact Us' page on the website, or by visiting the campus located at the address mentioned on the website."
What are the different departments in the college?,"The college has the following departments: Computer Science Engineering, Mechanical Engineering, Electronics and Communication Engineering, Civil Engineering, and Applied Science. For more information, visit the 'Academics' section on the website."
